Country,Year,Area (thousands of km2)[21],Population in 2018[22],GDP per capita in 2018[23],Population density (inhabitants per km2) in 2017[24],Vehicle ownership (per thousand inhabitants) in 2016[25],Total Road Deaths in 2018[27],Road deaths per Million Inhabitants in 2018[27]
Austria,2018,83.9,8822267,38000,107,665,409,45
Belgium,2018,30.5,11398589,35300,376,585,590,52
Bulgaria,2018,111.0,7050034,6500,65,516,611,88
Croatia,2018,56.5,4105493,"11,500â€ a",74,416,317,77
Cyprus,2018,9.3,864236,23300,128,726,49,57
Czech Republic,2018,78.9,10610055,17600,137,570,656,62
Denmark,2018,42.9,5781190,47600,137,508,175,30
Estonia,2018,45.2,1319133,15100,30,620,67,51
Finland,2018,338.4,5513130,36600,18,732,225,43
France,2018,632.8,66926166,32800,123,590,3265,48
Germany,2018,357.3,"82.792,351",35900,237,610,3177,39
Greece,2018,132.0,10741165,17800,83,605,690,64
Hungary,2018,93.0,9778371,12500,108,394,629,64
Ireland,2018,69.8,4830392,59400,70,525,146,31
Italy,2018,302.1,60483973,26700,206,707,3310,55
Latvia,2018,64.6,1934379,12300,31,387,143,78
Lithuania,2018,65.3,2808901,13300,45,501,170,61
Luxembourg,2018,2.6,602005,80800,245,740,36,60
Malta,2018,0.3,475701,21600,1462,726,18,38
Netherlands,2018,41.5,17181084,41500,508,543,678,31
Poland,2018,312.7,37976687,12400,124,672,2862,76
Portugal,2018,92.2,10291027,17900,112,479,606,59
Romania,2018,238.4,19530631,8700,85,329,1867,96
Slovakia,2018,49.0,5443120,15600,113,455,229,46
Slovenia,2018,20.3,2066880,20200,103,587,91,44
Spain,2018,506.0,46658447,25000,93,611,1806,39
Sweden,2018,438.6,10120242,43300,25,542,324,32
United Kingdom,2018,248.5,66273576,32400,273,544,1825,28
EU 28 Total,2018,4463.4,512379225,28200,121,587,25249,49
